state,city,date,gender,country,payment,product,amount,
New York,Los Angeles,2/10/2020,F,US,creditcard,Grill,150,
New York,LA,11-Feb,2020,male,USA,cc,Fryer,100
New York,San Fran,2/12/2020,fem,U.S.,paypal,Pot,30,
New York,SF,12-Feb-20,M,US,credt,Pan,25,
New York,Los Angelas,2/13/2020,m,U.S.A.,visa,Kettle,20,
New York,LA,Feb 14 2020,F,USA,pay pal,Coffee Maker,80,
New York,San Francisco,2/15/2020,male,US,creditcard,Espresso,200,
New York,SF,15-Feb-20,female,U.S.,cc,Grinder,50,
New York,Los Angeles,2/16/2020,M,USA,visa card,Fridge,800,
New York,LA,17-Feb,2020,m,U.S.A.,paypal,Freezer,600
New York,San Fran,2/18/2020,F,US,credit,Dishwasher,500,
New York,SF,18-Feb-20,fem,USA,credi card,Washer,700,
New York,Los Angelas,2/19/2020,M,U.S,visa,Dryer,650,
New York,LA,Feb 20 2020,male,US,pay pal,Oven,900,
N.Y.,San Francisco,2/21/2020,F,USA,creditcard,Stove,850,
N.Y.,SF,21-Feb-20,female,U.S.A.,cc,Microwave,180,
N.Y.,Los Angeles,2/22/2020,M,US,visa card,Hood,250,
N.Y.,LA,23-Feb,2020,m,U.S.,paypal,Sink,300
N.Y.,San Fran,2/24/2020,F,USA,credit,Faup,120,
N.Y.,SF,24-Feb-20,fem,US,credi card,Pipe,80,
NYC,Los Angelas,2/25/2020,M,U.S.A.,visa,Wrench,15,
NYC,LA,Feb 26 2020,male,USA,pay pal,Hammer,12,
NYC,San Francisco,2/27/2020,F,US,creditcard,Screwdriver,8,
NYC,SF,27-Feb-20,female,U.S.,cc,Saw,45,
NYC,Los Angeles,2/28/2020,M,USA,visa card,Drill,60,
NYC,LA,Feb-29,2020,m,U.S.A.,paypal,Sander,55
New Yrok,San Fran,3/1/2020,F,US,credit,Grinder,70,
New Yrok,SF,1-Mar-20,fem,USA,credi card,Chainsaw,150,
New Yrok,Los Angelas,3/2/2020,M,U.S,visa,Ladder,100,
New Yrok,LA,Mar 3 2020,male,US,pay pal,Rope,25,
New Yrok,San Francisco,3/4/2020,F,USA,creditcard,Bucket,15,
New Yrok,SF,4-Mar-20,female,U.S.A.,cc,Tarp,20,
New Yrok,Los Angeles,3/5/2020,M,US,visa card,Paint,35,
New Yrok,LA,6-Mar,2020,m,U.S.,paypal,Brush,8
New Yrok,San Fran,3/7/2020,F,USA,credit,Roller,12,
New Yrok,SF,7-Mar-20,fem,US,credi card,Tray,18,
NYC,Los Angelas,3/8/2020,M,U.S.A.,visa,Pan,22,
NYC,LA,Mar 9 2020,male,USA,pay pal,Lid,10,
NYC,San Francisco,3/10/2020,F,US,creditcard,Bowl,14,
NYC,SF,10-Mar-20,female,U.S.,cc,Cup,6,
NYC,Los Angeles,3/11/2020,M,USA,visa card,Plate,9,
NYC,LA,12-Mar,2020,m,U.S.A.,paypal,Fork,4
New Yrok,San Fran,3/13/2020,F,US,credit,Spoon,4,
New Yrok,SF,13-Mar-20,fem,USA,credi card,Knife,7,
New Yrok,Los Angelas,3/14/2020,M,U.S,visa,Chopsticks,3,
New Yrok,LA,Mar 15 2020,male,US,pay pal,Straw,2,
New Yrok,San Francisco,3/16/2020,F,USA,creditcard,Cup,5,
New Yrok,SF,16-Mar-20,female,U.S.A.,cc,Mug,8,
New Yrok,Los Angeles,3/17/2020,M,US,visa card,Glass,12,
New Yrok,LA,18-Mar,2020,m,U.S.,paypal,Pitcher,20
New Yrok,San Fran,3/19/2020,F,USA,credit,Jug,15,
New Yrok,SF,19-Mar-20,fem,US,credi card,Tumbler,10,
NYC,Los Angelas,3/20/2020,M,U.S.A.,visa,Flask,25,
NYC,LA,Mar 21 2020,male,USA,pay pal,Thermos,30,
NYC,San Francisco,3/22/2020,F,US,creditcard,Cooler,40,
NYC,SF,22-Mar-20,female,U.S.,cc,Ice Pack,8,
NYC,Los Angeles,3/23/2020,M,USA,visa card,Blanket,35,
NYC,LA,24-Mar,2020,m,U.S.A.,paypal,Pillow,20
New Yrok,San Fran,3/25/2020,F,US,credit,Sheet,25,
New Yrok,SF,25-Mar-20,fem,USA,credi card,Comforter,50,
New Yrok,Los Angelas,3/26/2020,M,U.S,visa,Towel,15,
New Yrok,LA,Mar 27 2020,male,US,pay pal,Robes,40,
New Yrok,San Francisco,3/28/2020,F,USA,creditcard,Slippers,18,
New Yrok,SF,28-Mar-20,female,U.S.A.,cc,Sandals,22,
New Yrok,Los Angeles,3/29/2020,M,US,visa card,Boots,60,
New Yrok,LA,30-Mar,2020,m,U.S.,paypal,Sneakers,55
New Yrok,San Fran,3/31/2020,F,USA,credit,Heels,45,
New Yrok,SF,31-Mar-20,fem,US,credi card,Loafers,35,
NYC,Los Angelas,4/1/2020,M,U.S.A.,visa,Oxfords,50,
NYC,LA,Apr 2 2020,male,USA,pay pal,Hat,20,
NYC,San Francisco,4/3/2020,F,US,creditcard,Scarf,15,
NYC,SF,3-Apr-20,female,U.S.,cc,Gloves,12,
NYC,Los Angeles,4/4/2020,M,USA,visa card,Socks,8,
NYC,LA,5-Apr,2020,m,U.S.A.,paypal,Shirt,30
New Yrok,San Fran,4/6/2020,F,US,credit,Jeans,45,
New Yrok,SF,6-Apr-20,fem,USA,credi card,Shorts,25,
New Yrok,Los Angelas,4/7/2020,M,U.S,visa,Sweater,35,
New Yrok,LA,Apr 8 2020,male,US,pay pal,Jacket,55,
New Yrok,San Francisco,4/9/2020,F,USA,creditcard,Vest,40,
New Yrok,SF,9-Apr-20,female,U.S.A.,cc,Coat,65,
New Yrok,Los Angeles,4/10/2020,M,US,visa card,Blazer,70,
New Yrok,LA,11-Apr,2020,m,U.S.,paypal,Tie,18
New Yrok,San Fran,4/12/2020,F,USA,credit,Belt,22,
New Yrok,SF,12-Apr-20,fem,US,credi card,Buckle,15,
NYC,Los Angelas,4/13/2020,M,U.S.A.,visa,Wallet,30,
NYC,LA,Apr 14 2020,male,USA,pay pal,Bag,50,
NYC,San Francisco,4/15/2020,F,US,creditcard,Backpack,40,
NYC,SF,15-Apr-20,female,U.S.,cc,Case,25,
NYC,Los Angeles,4/16/2020,M,USA,visa card,Organizer,18,
NYC,LA,17-Apr,2020,m,U.S.A.,paypal,Hanger,10
New Yrok,San Fran,4/18/2020,F,US,credit,Rack,35,
New Yrok,SF,18-Apr-20,fem,USA,credi card,Shelf,45,
New Yrok,Los Angelas,4/19/2020,M,U.S,visa,Cabinet,60,
New Yrok,LA,Apr 20 2020,male,US,pay pal,Drawer,25,
New Yrok,San Francisco,4/21/2020,F,USA,creditcard,Handle,12,
New Yrok,SF,21-Apr-20,female,U.S.A.,cc,Knob,8,
New Yrok,Los Angeles,4/22/2020,M,US,visa card,Lock,15,
New Yrok,LA,23-Apr,2020,m,U.S.,paypal,Key,5
New Yrok,San Fran,4/24/2020,F,USA,credit,Latch,10,
New Yrok,SF,24-Apr-20,fem,US,credi card,Clasp,6,
NYC,Los Angelas,4/25/2020,M,U.S.A.,visa,Chain,20,
NYC,LA,Apr 26 2020,male,USA,pay pal,Ring,35,
NYC,San Francisco,4/27/2020,F,US,creditcard,Bracelet,25,
NYC,SF,27-Apr-20,female,U.S.,cc,Necklace,40,
NYC,Los Angeles,4/28/2020,M,USA,visa card,Earrings,30,
NYC,LA,29-Apr,2020,m,U.S.A.,paypal,Pin,12
New Yrok,San Fran,4/30/2020,F,US,credit,Badge,15,
New Yrok,SF,30-Apr-20,fem,USA,credi card,Sticker,5,
New Yrok,Los Angelas,5/1/2020,M,U.S,visa,Stencil,8,
New Yrok,LA,May 2 2020,male,US,pay pal,Tape,4,
New Yrok,San Francisco,5/3/2020,F,USA,creditcard,Glue,3,
New Yrok,SF,3-May-20,female,U.S.A.,cc,Clamp,10,
New Yrok,Los Angeles,5/4/2020,M,US,visa card,Vise,18,
New Yrok,LA,5-May,2020,m,U.S.,paypal,File,12
New Yrok,San Fran,5/6/2020,F,USA,credit,Rasp,14,
New Yrok,SF,6-May-20,fem,US,credi card,Chisel,10,
NYC,Los Angelas,5/7/2020,M,U.S.A.,visa,Plane,22,
NYC,LA,May 8 2020,male,USA,pay pal,Level,15,
NYC,San Francisco,5/9/2020,F,US,creditcard,Square,18,
NYC,SF,9-May-20,female,U.S.,cc,Protractor,8,
NYC,Los Angeles,5/10/2020,M,USA,visa card,Compass,12,
NYC,LA,11-May,2020,m,U.S.A.,paypal,Ruler,6
New Yrok,San Fran,5/12/2020,F,US,credit,Grid,10,
New Yrok,SF,12-May-20,fem,USA,credi card,Graph,14,
New Yrok,Los Angelas,5/13/2020,M,U.S,visa,Chart,20,
New Yrok,LA,May 14 2020,male,US,pay pal,Diagram,18,
New Yrok,San Francisco,5/15/2020,F,USA,creditcard,Map,25,
New Yrok,SF,15-May-20,female,U.S.A.,cc,Globe,35,
New Yrok,Los Angeles,5/16/2020,M,US,visa card,Atlas,40,
New Yrok,LA,17-May,2020,m,U.S.,paypal,Book,15
New Yrok,San Fran,5/18/2020,F,USA,credit,Magazine,8,
New Yrok,SF,18-May-20,fem,US,credi card,Newspaper,3,
NYC,Los Angelas,5/19/2020,M,U.S.A.,visa,Journal,12,
NYC,LA,May 20 2020,male,USA,pay pal,Diary,10,
NYC,San Francisco,5/21/2020,F,US,creditcard,Calendar,8,
NYC,SF,21-May-20,female,U.S.,cc,Planner,14,
NYC,Los Angeles,5/22/2020,M,USA,visa card,Notebook,6,
NYC,LA,23-May,2020,m,U.S.A.,paypal,Envelope,4
New Yrok,San Fran,5/24/2020,F,US,credit,Stamp,3,
New Yrok,SF,24-May-20,fem,USA,credi card,Label,5,
New Yrok,Los Angelas,5/25/2020,M,U.S,visa,Tag,7,
New Yrok,LA,May 26 2020,male,US,pay pal,Poster,12,
New Yrok,San Francisco,5/27/2020,F,USA,creditcard,Corkboard,18,
New Yrok,SF,27-May-20,female,U.S.A.,cc,Pinboard,15,
New Yrok,Los Angeles,5/28/2020,M,US,visa card,Easel,22,
New Yrok,LA,29-May,2020,m,U.S.,paypal,Canvas,25
New Yrok,San Fran,5/30/2020,F,USA,credit,Brush Set,30,
New Yrok,SF,30-May-20,fem,US,credi card,Palette,18,
NYC,Los Angelas,5/31/2020,M,U.S.A.,visa,Easel Paper,10,
NYC,LA,Jun 1 2020,male,USA,pay pal,Paint Set,35,
NYC,San Francisco,6/2/2020,F,US,creditcard,Marker Set,20,
NYC,SF,2-Jun-20,female,U.S.,cc,Pen Set,12,
NYC,Los Angeles,6/3/2020,M,USA,visa card,Pencil Set,10,
NYC,LA,4-Jun,2020,m,U.S.A.,paypal,Eraser,4
New Yrok,San Fran,6/5/2020,F,US,credit,Sharpener,6,
New Yrok,SF,5-Jun-20,fem,USA,credi card,Ruler Set,8,
New Yrok,Los Angelas,6/6/2020,M,U.S,visa,Compass Set,14,
New Yrok,LA,Jun 7 2020,male,US,pay pal,Divider,10,
New Yrok,San Francisco,6/8/2020,F,USA,creditcard,Calculator,18,
New Yrok,SF,8-Jun-20,female,U.S.A.,cc,Abacus,25,
New Yrok,Los Angeles,6/9/2020,M,US,visa card,Clock,30,
New Yrok,LA,10-Jun,2020,m,U.S.,paypal,Watch,45
New Yrok,San Fran,6/11/2020,F,USA,credit,Timer,15,
New Yrok,SF,11-Jun-20,fem,US,credi card,Stopwatch,20,
NYC,Los Angelas,6/12/2020,M,U.S.A.,visa,Alarm,18,
NYC,LA,Jun 13 2020,male,USA,pay pal,Radio,35,
NYC,San Francisco,6/14/2020,F,US,creditcard,Speaker,40,
NYC,SF,14-Jun-20,female,U.S.,cc,Earphone,25,
NYC,Los Angeles,6/15/2020,M,USA,visa card,Microphone,20,
NYC,LA,16-Jun,2020,m,U.S.A.,paypal,Amplifier,50
New Yrok,San Fran,6/17/2020,F,US,credit,Equalizer,45,
New Yrok,SF,17-Jun-20,fem,USA,credi card,Mixer Board,60,
New Yrok,Los Angelas,6/18/2020,M,U.S,visa,Turntable,80,
New Yrok,LA,Jun 19 2020,male,US,pay pal,CD Player,35,
New Yrok,San Francisco,6/20/2020,F,USA,creditcard,DVD Player,40,
New Yrok,SF,20-Jun-20,female,U.S.A.,cc,Blu-ray,50,
New Yrok,Los Angeles,6/21/2020,M,US,visa card,Projector,150,
New Yrok,LA,22-Jun,2020,m,U.S.,paypal,Screen,100
New Yrok,San Fran,6/23/2020,F,USA,credit,Curtains,60,
New Yrok,SF,23-Jun-20,fem,US,credi card,Blinds,45,
NYC,Los Angelas,6/24/2020,M,U.S.A.,visa,Shutter,55,
NYC,LA,Jun 25 2020,male,USA,pay pal,Window,75,
NYC,San Francisco,6/26/2020,F,US,creditcard,Glass Pane,80,
NYC,SF,26-Jun-20,female,U.S.,cc,Frame,35,
NYC,Los Angeles,6/27/2020,M,USA,visa card,Screen Door,120,
NYC,LA,28-Jun,2020,m,U.S.A.,paypal,Hinge,18
New Yrok,San Fran,6/29/2020,F,US,credit,Handle Set,25,
New Yrok,SF,29-Jun-20,fem,USA,credi card,Lock Set,30,
New Yrok,Los Angelas,6/30/2020,M,U.S,visa,Key Set,15,
New Yrok,LA,Jul 1 2020,male,US,pay pal,Pegboard,20,
New Yrok,San Francisco,7/2/2020,F,USA,creditcard,Hook Set,12,
New Yrok,SF,2-Jul-20,female,U.S.A.,cc,Bracket,10,
New Yrok,Los Angeles,7/3/2020,M,US,visa card,Angle,8,
New Yrok,LA,4-Jul,2020,m,U.S.,paypal,Bead,5
New Yrok,San Fran,7/5/2020,F,USA,credit,Tube,7,
New Yrok,SF,5-Jul-20,fem,US,credi card,Pipe Fitting,15,
NYC,Los Angelas,7/6/2020,M,U.S.A.,visa,Valve,18,
NYC,LA,Jul 7 2020,male,USA,pay pal,Nozzle,12,
NYC,San Francisco,7/8/2020,F,US,creditcard,Spring,10,
NYC,SF,8-Jul-20,female,U.S.,cc,Ball Bearing,8,
NYC,Los Angeles,7/9/2020,M,USA,visa card,Gear,14,
NYC,LA,10-Jul,2020,m,U.S.A.,paypal,Sprocket,12
New Yrok,San Fran,7/11/2020,F,US,credit,Belt Drive,20,
New Yrok,SF,11-Jul-20,fem,USA,credi card,Chain Link,15,
New Yrok,Los Angelas,7/12/2020,M,U.S,visa,Cable Wire,25,
New Yrok,LA,Jul 13 2020,male,US,pay pal,Insulation,30,
New Yrok,San Francisco,7/14/2020,F,USA,creditcard,Foam,18,
New Yrok,SF,14-Jul-20,female,U.S.A.,cc,Sponge,12,
New Yrok,Los Angeles,7/15/2020,M,US,visa card,Cloth,10,
New Yrok,LA,16-Jul,2020,m,U.S.,paypal,Wire Mesh,15
New Yrok,San Fran,7/17/2020,F,USA,credit,Screen Filter,20,
New Yrok,SF,17-Jul-20,fem,US,credi card,Lens Cover,12,
NYC,Los Angelas,7/18/2020,M,U.S.A.,visa,Lens Cap,8,
NYC,LA,Jul 19 2020,male,USA,pay pal,Strap,10,
NYC,San Francisco,7/20/2020,F,US,creditcard,Bag Cover,15,
NYC,SF,20-Jul-20,female,U.S.,cc,Keyboard Cover,12,
NYC,Los Angeles,7/21/2020,M,USA,visa card,Mouse Pad,8,
NYC,LA,22-Jul,2020,m,U.S.A.,paypal,Monitor Riser,25
New Yrok,San Fran,7/23/2020,F,US,credit,Docking Station,30,
New Yrok,SF,23-Jul-20,fem,USA,credi card,Hub,18,
New Yrok,Los Angelas,7/24/2020,M,U.S,visa,USB Cable,10,
New Yrok,LA,Jul 25 2020,male,US,pay pal,HDMI Cable,12,
New Yrok,San Francisco,7/26/2020,F,USA,creditcard,VGA Cable,10,
New Yrok,SF,26-Jul-20,female,U.S.A.,cc,DVI Cable,8,
New Yrok,Los Angeles,7/27/2020,M,US,visa card,DisplayPort,12,
New Yrok,LA,28-Jul,2020,m,U.S.,paypal,Ethernet Cable,15
New Yrok,San Fran,7/29/2020,F,USA,credit,Phone Cable,8,
New Yrok,SF,29-Jul-20,fem,US,credi card,Charging Brick,18,
NYC,Los Angelas,7/30/2020,M,U.S.A.,visa,Power Bank,35,
NYC,LA,Jul 31 2020,male,USA,pay pal,Car Charger,20,
NYC,San Francisco,8/1/2020,F,US,creditcard,Adapter Set,15,
NYC,SF,1-Aug-20,female,U.S.,cc,Converter,12,
NYC,Los Angeles,8/2/2020,M,USA,visa card,Inverter,40,
NYC,LA,3-Aug,2020,m,U.S.A.,paypal,Transformer,50
New Yrok,San Fran,8/4/2020,F,US,credit,Rectifier,35,
New Yrok,SF,4-Aug-20,fem,USA,credi card,Diode,8,
New Yrok,Los Angelas,8/5/2020,M,U.S,visa,Resistor,5,
New Yrok,LA,Aug 6 2020,male,US,pay pal,Capacitor,6,
New Yrok,San Francisco,8/7/2020,F,USA,creditcard,Inductor,7,
New Yrok,SF,7-Aug-20,female,U.S.A.,cc,Transistor,10,
New Yrok,Los Angeles,8/8/2020,M,US,visa card,Switch,12,
New Yrok,LA,9-Aug,2020,m,U.S.,paypal,Relay,15
New Yrok,San Fran,8/10/2020,F,USA,credit,Fuse,4,
New Yrok,SF,10-Aug-20,fem,US,credi card,Breaker,18,
NYC,Los Angelas,8/11/2020,M,U.S.A.,visa,Socket,10,
NYC,LA,Aug 12 2020,male,USA,pay pal,Plug,8,
NYC,San Francisco,8/13/2020,F,US,creditcard,Switch Plate,5,
NYC,SF,13-Aug-20,female,U.S.,cc,Cover,6,
NYC,Los Angeles,8/14/2020,M,USA,visa card,Panel,25,
NYC,LA,15-Aug,2020,m,U.S.A.,paypal,Board,30
New Yrok,San Fran,8/16/2020,F,US,credit,Strip,12,
New Yrok,SF,16-Aug-20,fem,USA,credi card,Cord,15,
New Yrok,Los Angelas,8/17/2020,M,U.S,visa,Rope,10,
New Yrok,LA,Aug 18 2020,male,US,pay pal,String,8,
New Yrok,San Francisco,8/19/2020,F,USA,creditcard,Thread,4,
New Yrok,SF,19-Aug-20,female,U.S.A.,cc,Yarn,6,
New Yrok,Los Angeles,8/20/2020,M,US,visa card,Fabric,12,
New Yrok,LA,21-Aug,2020,m,U.S.,paypal,Leather,20
New Yrok,San Fran,8/22/2020,F,USA,credit,Suede,18,
New Yrok,SF,22-Aug-20,fem,US,credi card,Canvas,15,
NYC,Los Angelas,8/23/2020,M,U.S.A.,visa,Denim,22,
NYC,LA,Aug 24 2020,male,USA,pay pal,Fleece,18,
NYC,San Francisco,8/25/2020,F,US,creditcard,Polyester,14,
NYC,SF,25-Aug-20,female,U.S.,cc,Nylon,12,
NYC,Los Angeles,8/26/2020,M,USA,visa card,Rayon,10,
NYC,LA,27-Aug,2020,m,U.S.A.,paypal,Wool,20
New Yrok,San Fran,8/28/2020,F,US,credit,Cotton,10,
New Yrok,SF,28-Aug-20,fem,USA,credi card,Linen,12,
New Yrok,Los Angelas,8/29/2020,M,U.S,visa,Hemp,15,
New Yrok,LA,Aug 30 2020,male,US,pay pal,Jute,8,
New Yrok,San Francisco,8/31/2020,F,USA,creditcard,Bamboo,18,
New Yrok,SF,31-Aug-20,female,U.S.A.,cc,Wood,22,
New Yrok,Los Angeles,9/1/2020,M,US,visa card,Steel,25,
New Yrok,LA,2-Sep,2020,m,U.S.,paypal,Aluminum,20
New Yrok,San Fran,9/3/2020,F,USA,credit,Copper,30,
New Yrok,SF,3-Sep-20,fem,US,credi card,Brass,28,
NYC,Los Angelas,9/4/2020,M,U.S.A.,visa,Bronze,32,
